Year,Funder,State,Money
2023,"Fortinet, Inc.",California,54000
2023,Republic National Distributing Company,California,54000
2023,Juul Labs Inc.,California,54000
2022,Palo Alto Networks,California,54000
2022,AIDS Healthcare Foundation,California,54000
2022,"Fortinet, Inc.",California,54000
2022,"Axon Enterprise, Inc.",California,54000
2022,Republic National Distributing Company,California,54000
2022,PRBA - The Rechargeable Battery Association,District of Columbia,54000
2022,CONSUMER HEALTHCARE PRODUCTS ASSN,District of Columbia,54000
2016,Expedia Group,District of Columbia,54000
2023,AMERICAN WOOD COUNCIL,District of Columbia,54000
2023,CONSUMER HEALTHCARE PRODUCTS ASSN,District of Columbia,54000
2023,DDC Public Affairs on behalf of Lockheed Martin,District of Columbia,54000
2023,Pacific Northwest Farmers Cooperative Inc,Idaho,54000
2019,Motorola Solutions Inc,Illinois,54000
2019,AMC,Kansas,54000
2018,AMC,Kansas,54000
2022,Sodexo,Maryland,54000
2019,Sodexo,Maryland,54000
2022,NOVO NORDISK INC,New Jersey,54000
2021,NOVO NORDISK INC,New Jersey,54000
2020,NOVO NORDISK INC,New Jersey,54000
2019,NOVO NORDISK INC,New Jersey,54000
2018,NOVO NORDISK INC,New Jersey,54000
2020,Life Flight Network,Oregon,54000
2018,RITE AID CORPORATION,Pennsylvania,54000
2017,RITE AID CORPORATION,Pennsylvania,54000
2020,IGT GLOBAL SOLUTIONS AND ITS AFFILIATES,Pennsylvania,54000
2023,"Youth Villages, Inc.",Tennessee,54000
2023,Novelis c/o MultiState Associates LLC,Virginia,54000
2023,Consumer Brands Association,Virginia,54000
2021,GLAXO SMITHKLINE,Colorado,53914.57
2022,GLAXO SMITHKLINE,Colorado,53900.55
2023,GLAXO SMITHKLINE,Colorado,53895.12
2018,AMERICAN FOREST RESOURCE CNCL,Oregon,53796
2020,Internet Association,District of Columbia,53784.3
2017,NOVO NORDISK INC,New Jersey,53750
2019,PUBLIC CONSULTING GROUP LLC  c/o MultiState Associates Inc.,Virginia,53750
2018,Yoga Alliance,Virginia,53540.89
2021,DDC Public Affairs on behalf of Lockheed Martin,District of Columbia,53500
2020,HAMPTON TREE FARMS LLC,Oregon,53390.81
2021,Start Early,Illinois,53350
2021,HAMPTON TREE FARMS LLC,Oregon,53127.52
2020,Rayonier,Florida,52930
2016,"STAND FOR CHILDREN, INC.",Oregon,52869.32
2019,CIOX HEALTH LLC (THRU MULTISTATE ASSOCIATES LLC),Virginia,52800
2022,USAA,Texas,52781.88
2021,USAA,Texas,52781.88
2020,USAA,Texas,52781.88
2019,USAA,Texas,52781.84
2020,"Safelite Group, Inc.",Ohio,52758.62
2017,BRISTOL-MYERS SQUIBB CO,District of Columbia,52700
2020,Turo Inc.,California,52500
2020,Merit International Inc.,California,52500
2021,Association for Accessible Medicines,District of Columbia,52500
2018,BRISTOL-MYERS SQUIBB CO,District of Columbia,52500
2016,MEDTRONIC INC,Minnesota,52400
2017,OTSUKA AMERICA PHARMACEUTICAL INC,Maryland,52191.22
2017,NATL RIFLE ASSN OF AMERICA,Virginia,52102.75
2016,Stericycle,Illinois,52091.88
2020,Molson Coors Beverage Company USA LLC,California,52000
2016,MCNA HEALTH CARE HOLDINGS,Florida,52000
2021,AVANTech LLC,South Carolina,52000
2021,AMERICAN FAMILY MUTUAL INSURANCE,Wisconsin,51999.96
2021,Molson Coors Beverage Company USA LLC,California,51996
2019,Molson Coors Beverage Company USA LLC,California,51996
2023,Molson Coors Beverage Company USA LLC,California,51996
2022,Molson Coors Beverage Company USA LLC,California,51996
2019,HAMPTON TREE FARMS LLC,Oregon,51750
2023,RENEWABLE NORTHWEST,Oregon,51718.96
2022,TESLA,California,51645.89
2018,OTSUKA AMERICA PHARMACEUTICAL INC,Maryland,51642.35
2020,FRED MEYER (OXLEY & ASSOC),Oregon,51600
2022,Cypress Creek Renewables,California,51500
2018,Association for Accessible Medicines,District of Columbia,51422.8
2020,"Assurant, Inc.",Florida,51209.03
2021,GENENTECH,California,51190
2019,EAZE,California,51000
2017,Association for Accessible Medicines,District of Columbia,51000
2016,ALLIANCE FOR AUTOMOTIVE INNOVATION,District of Columbia,51000
2020,Kalkokmey Enterprises,Texas,51000
2022,CONSUMER TECHNOLOGY ASSN (THROUGH MULTISTATE ASSOCIATES LLC),Virginia,51000
2021,Swedish Match North America LLC,Virginia,51000
2020,Swedish Match North America LLC,Virginia,51000
2018,PUBLIC CONSULTING GROUP LLC  c/o MultiState Associates Inc.,Virginia,51000
2017,PUBLIC CONSULTING GROUP LLC  c/o MultiState Associates Inc.,Virginia,51000
2023,CONSUMER TECHNOLOGY ASSN (THROUGH MULTISTATE ASSOCIATES LLC),Virginia,51000
2020,RITE AID CORPORATION,Pennsylvania,50934
2017,"JOHNSON & JOHNSON SERVICES, INC.",Idaho,50900
2016,OTSUKA AMERICA PHARMACEUTICAL INC,Maryland,50880.62
2016,"JOHNSON & JOHNSON SERVICES, INC.",Idaho,50800
2019,APPLE INC,California,50777.54
2020,BRISTOL-MYERS SQUIBB CO,District of Columbia,50769.98
2020,Association for Accessible Medicines,District of Columbia,50500
2021,Secure Democracy,District of Columbia,50416
2017,Pediatrix Medical Group,Florida,50399.76
2023,BRISTOL-MYERS SQUIBB CO,District of Columbia,50377.32
2016,ALLERGAN USA INC,California,50348.44
2021,Compassion & Choices Action Network,Colorado,50337.58
2023,NATL RIFLE ASSN OF AMERICA,Virginia,50240.58
2018,"JOHNSON & JOHNSON SERVICES, INC.",Idaho,50150
2021,WA WHOLESALE DRUGGIST ASSN,Ohio,50138.01
2016,TWO JINN INC,California,50000.04
2019,AMERICAN FAMILY MUTUAL INSURANCE,Wisconsin,50000.04
2019,FIDELITY NATIONAL FINANCIAL INC,California,50000.03
2021,Adobe Inc.,California,50000
2019,DELOITTE CONSULTING LLP,California,50000
2018,FIDELITY NATIONAL FINANCIAL INC,California,50000
2017,FIDELITY NATIONAL FINANCIAL INC,California,50000
2016,"Meta Platforms, Inc.",California,50000
2016,FIDELITY NATIONAL FINANCIAL INC,California,50000
2023,CONSUMER DATA INDUSTRY ASSN,District of Columbia,50000
2023,Coalition of Ignition Interlock Manufacturers,Florida,50000
2022,Experian Information Solutions,Illinois,50000
2016,EVICORE HEALTHCARE,South Carolina,50000
2019,POET LLC,South Dakota,50000
2020,AMERICAN FAMILY MUTUAL INSURANCE,Wisconsin,50000
2023,"UCB, INC",California,49999.92
2022,"UCB, INC",California,49999.92
2018,CVS HEALTH,District of Columbia,49999.92
2017,CVS HEALTH,District of Columbia,49999.92
2016,CVS HEALTH,District of Columbia,49999.92
2022,Swisher International Inc.,Florida,49999.92
2020,Swisher International Inc.,Florida,49999.92
2019,Swisher International Inc.,Florida,49999.92
2023,Swisher International Inc.,Florida,49999.92
2016,UNION PACIFIC RAILROAD CO,Oregon,49992
2021,"UCB, INC",California,49833.26
2023,ChargePoint Inc,California,49566.33
2021,Palo Alto Networks,California,49500
2021,Pacific Northwest Farmers Cooperative Inc,Idaho,49500
2020,Pacific Northwest Farmers Cooperative Inc,Idaho,49500
2017,Motorola Solutions Inc,Illinois,49500
2023,Sodexo,Maryland,49500
2023,Kinship Health,New York,49500
2016,NOVO NORDISK INC,New Jersey,49500
2017,NW GROCERY ASSN,Oregon,49500
2019,RITE AID CORPORATION,Pennsylvania,49500
2016,RITE AID CORPORATION,Pennsylvania,49500
2022,SmileDirectClub,Tennessee,49500
2023,"Hims, Inc.",California,49471.18
2020,National Council of State Boards of Nursing,Illinois,49375
2019,"Salesforce, Inc.",California,49259.6
2017,ALLIANCE FOR AUTOMOTIVE INNOVATION,District of Columbia,49241.65
2019,Port of Hood River,Oregon,49156.32
2020,HNTB CORP,California,49134.62
2016,"Axon Enterprise, Inc.",California,49129.03
2020,HONDA NORTH AMERICA (THRU MULTISTATE ASSOCIATES LLC),Virginia,49000.02
2017,HNTB CORP,California,49000
2021,OTSUKA AMERICA PHARMACEUTICAL INC,Maryland,48826.92
2022,AMERICAN COUNCIL OF LIFE INSURERS,District of Columbia,48750
2023,AMERICAN COUNCIL OF LIFE INSURERS,District of Columbia,48750
2022,CONSUMER DATA INDUSTRY ASSN,District of Columbia,48722.67
2019,OTSUKA AMERICA PHARMACEUTICAL INC,Maryland,48698.75
2018,Molson Coors Beverage Company USA LLC,California,48625.2
2023,NATL FEDERATION OF INDEPENDENT BUSINESS,District of Columbia,48605
2020,Washington State Medical Oncology Society,Maryland,48600
2022,OTSUKA AMERICA PHARMACEUTICAL INC,Maryland,48596.16
2016,Molson Coors Beverage Company USA LLC,California,48528.29
2018,GILEAD SCIENCES INC,California,48500
2018,Securities Industry and Financial Markets Association,New York,48500
2017,HAMPTON TREE FARMS LLC,Oregon,48355.76
2022,Start Early,Illinois,48350
2022,HNTB CORP,California,48288.46
2023,BIOGEN,Massachusetts,48198.08
2023,Sunovion Pharmaceuticals Inc.,Massachusetts,48129.51
2016,INTL CODE COUNCIL,District of Columbia,48116.68
2023,"UNIVERSITY OF PHOENIX, INC.",Arizona,48000
2023,The Toy Association,Arizona,48000
2022,"UNIVERSITY OF PHOENIX, INC.",Arizona,48000
2021,Acusensus,Arizona,48000
2021,"UNIVERSITY OF PHOENIX, INC.",Arizona,48000
2020,"UNIVERSITY OF PHOENIX, INC.",Arizona,48000
2019,"UNIVERSITY OF PHOENIX, INC.",Arizona,48000
2018,"UNIVERSITY OF PHOENIX, INC.",Arizona,48000
2017,"UNIVERSITY OF PHOENIX, INC.",Arizona,48000
2021,SIGNATURE HEALTHCARE SERVICES LLC,California,48000
2021,HNTB CORP,California,48000
2021,"Encore Capital Group, Inc.",California,48000
2020,"UCB, INC",California,48000
2019,"UCB, INC",California,48000
2019,HNTB CORP,California,48000
2018,"UCB, INC",California,48000
2018,HNTB CORP,California,48000
2017,PHILLIPS 66,California,48000
2017,SIGNATURE HEALTHCARE SERVICES LLC,California,48000
2017,GILEAD SCIENCES INC,California,48000
2017,"UCB, INC",California,48000
2016,PHILLIPS 66,California,48000
2016,PFIZER INC,California,48000
2016,GILEAD SCIENCES INC,California,48000
2016,"UCB, INC",California,48000
2016,HNTB CORP,California,48000
2023,HNTB CORP,California,48000
2022,FORD MOTOR CO,California,48000
2022,"Encore Capital Group, Inc.",California,48000
2016,HUDSON GOVT AFFAIRS LLC,Colorado,48000
2022,Association of American Publishers,District of Columbia,48000
2022,Accenture LLP,District of Columbia,48000
2021,Association of American Publishers,District of Columbia,48000
2021,CONSUMER HEALTHCARE PRODUCTS ASSN,District of Columbia,48000
2020,CONSUMER HEALTHCARE PRODUCTS ASSN,District of Columbia,48000
2019,"CA, Inc.",District of Columbia,48000
2019,CONSUMER HEALTHCARE PRODUCTS ASSN,District of Columbia,48000
2018,Aetna,District of Columbia,48000
2018,CONSUMER HEALTHCARE PRODUCTS ASSN,District of Columbia,48000
2017,CONSUMER HEALTHCARE PRODUCTS ASSN,District of Columbia,48000
2016,ENERGY FREEDOM COALITION OF AMERICA LLC,District of Columbia,48000
2016,Viatris Inc.,District of Columbia,48000
2016,CONSUMER HEALTHCARE PRODUCTS ASSN,District of Columbia,48000
2022,PURDUE PHARMA,Delaware,48000
2021,PURDUE PHARMA,Delaware,48000
2020,PURDUE PHARMA,Delaware,48000
2019,PURDUE PHARMA,Delaware,48000
2018,PURDUE PHARMA,Delaware,48000
2023,PURDUE PHARMA,Delaware,48000
2023,Association of American Publishers,District of Columbia,48000
2023,Accenture LLP,District of Columbia,48000
2020,MCNA HEALTH CARE HOLDINGS,Florida,48000
2019,"US Ecology Washington, Inc.",Idaho,48000
2016,"US Ecology Washington, Inc.",Idaho,48000
2022,ABBVIE INC,Illinois,48000
2021,ABBVIE INC,Illinois,48000
2020,ABBVIE INC,Illinois,48000
2020,Motorola Solutions Inc,Illinois,48000
2023,LKQ Corporation,Illinois,48000
2022,Bamboo Health,Kentucky,48000
2021,VERTEX PHARMACEUTICALS INC,Massachusetts,48000
2019,"bluebird bio, Inc.",Massachusetts,48000
2018,"bluebird bio, Inc.",Massachusetts,48000
2017,"bluebird bio, Inc.",Massachusetts,48000
2020,OTSUKA AMERICA PHARMACEUTICAL INC,Maryland,48000
2023,Novocure,New Hampshire,48000
2023,NATIONAL ELEVATOR INDUSTRY INC,New York,48000
2022,NATIONAL ELEVATOR INDUSTRY INC,New York,48000
2021,JPMorgan Chase Holdings LLC,New York,48000
2019,International Business Machines Corporation (IBM) ,New York,48000
2018,International Business Machines Corporation (IBM) ,New York,48000
2022,"SkyNRG Americas, Inc",Oregon,48000
2021,CONFEDERATED TRIBES OF THE UMATILLA INDIAN RESERVATION,Oregon,48000
2020,CONFEDERATED TRIBES OF THE UMATILLA INDIAN RESERVATION,Oregon,48000
2017,NORTHWEST INDUSTRIAL GAS USERS,Oregon,48000
2016,NORTHWEST INDUSTRIAL GAS USERS,Oregon,48000
2022,RITE AID CORPORATION,Pennsylvania,48000
2021,RITE AID CORPORATION,Pennsylvania,48000
2023,RITE AID CORPORATION,Pennsylvania,48000
2023,Mi-Case,Pennsylvania,48000
2022,Kalkokmey Enterprises,Texas,48000
2021,Kalkokmey Enterprises,Texas,48000
2021,"Electronic Transaction Consultants, Inc",Texas,48000
2019,"TC ENERGY, GAS TRANSMISSION NORHTWEST, LLC",Texas,48000
2019,"FirstCash, Inc. dba Cash America",Texas,48000
2018,"TC ENERGY, GAS TRANSMISSION NORHTWEST, LLC",Texas,48000
2017,"TC ENERGY, GAS TRANSMISSION NORHTWEST, LLC",Texas,48000
2016,SCI Shared Resources LLC,Texas,48000
2016,"McLANE COMPANY, Inc.",Texas,48000
2020,Western Governors University,Utah,48000
2022,Carahsoft Technology Corporation,Virginia,48000
2022,"CARMAX AUTO SUPERSTORES, INC",Virginia,48000
2021,"CARMAX AUTO SUPERSTORES, INC",Virginia,48000
2021,National Football League c/o MultiState Associates LLC,Virginia,48000
2021,CONSUMER TECHNOLOGY ASSN (THROUGH MULTISTATE ASSOCIATES LLC),Virginia,48000
2020,"CARMAX AUTO SUPERSTORES, INC",Virginia,48000
2020,Walden University c/o MultiState Associates Inc.,Virginia,48000
2020,CONSUMER TECHNOLOGY ASSN (THROUGH MULTISTATE ASSOCIATES LLC),Virginia,48000
2019,"CARMAX AUTO SUPERSTORES, INC",Virginia,48000
2018,"CARMAX AUTO SUPERSTORES, INC",Virginia,48000
2017,"CARMAX AUTO SUPERSTORES, INC",Virginia,48000
2017,"Autolotto, Inc. dba Lottery.com  (THRU MULTI STATE)",Virginia,48000
2016,"CARMAX AUTO SUPERSTORES, INC",Virginia,48000
2023,Carahsoft Technology Corporation,Virginia,48000
2023,"CARMAX AUTO SUPERSTORES, INC",Virginia,48000
2023,"Okta, Inc.",California,47850
2019,NATL RIFLE ASSN OF AMERICA,Virginia,47745.44
2023,GENENTECH,California,47602.25
2021,CONTINENTAL CASUALTY COMPANY (CNA Insurance Companies),Illinois,47547
2020,CONTINENTAL CASUALTY COMPANY (CNA Insurance Companies),Illinois,47547
2019,CONTINENTAL CASUALTY COMPANY (CNA Insurance Companies),Illinois,47547
2018,CONTINENTAL CASUALTY COMPANY (CNA Insurance Companies),Illinois,47547
2017,CONTINENTAL CASUALTY COMPANY (CNA Insurance Companies),Illinois,47547
2021,Chubb,Pennsylvania,47547
2020,Chubb,Pennsylvania,47547
2019,Chubb,Pennsylvania,47547
2018,Chubb,Pennsylvania,47547
2017,Chubb,Pennsylvania,47547
2016,PAYQWICK,California,47500
2021,U.S. Tire Manufacturers Association,District of Columbia,47500
2020,JHUSA,Massachusetts,47500
2016,QUEST DIAGNOSTICS,Virginia,47500
2018,AMERICAN FAMILY MUTUAL INSURANCE,Wisconsin,47499.96
2021,WESTAF,Colorado,47312.5
2020,Emergent BioSolutions,Pennsylvania,47258
2016,HONDA NORTH AMERICA (THRU MULTISTATE ASSOCIATES LLC),Virginia,47250
2020,McDonalds Corporation,Illinois,46999.98
2016,USAA,Texas,46802.11
2021,Washington State Medical Oncology Society,Maryland,46800
2016,UNIFIED GROCERS,Minnesota,46800
2023,MALLINCKRODT PHARMACEUTICALS,District of Columbia,46750
2019,TECHNOLOGY NETWORK,California,46592.5
2018,MONSANTO,Missouri,46464.96
2017,MONSANTO,Missouri,46307.16
2018,HAMPTON TREE FARMS LLC,Oregon,46151.99
2020,Bayer U.S. LLC ,New Jersey,46150.41
2016,MONSANTO,Missouri,46029.92
2018,TESLA,California,46000
2016,Paradigm Outcomes,California,46000
2017,SMART TD PAC,Ohio,46000
2020,"Kaneka Americas Holding, Inc.",Texas,46000
2016,National Electrical Manufacturers Association (NEMA) c/o MultiState Associates LLC,Virginia,46000
2021,Bayer U.S. LLC ,New Jersey,45967.56
2017,INTL CODE COUNCIL,District of Columbia,45934.51
2022,Washington State Medical Oncology Society,Maryland,45900
2017,TWO JINN INC,California,45833.37
2021,Swisher International Inc.,Florida,45833.26
2021,Radius Recycling (Formerly SCHNITZER STEEL INDUSTRIES INC),Oregon,45648
2020,Radius Recycling (Formerly SCHNITZER STEEL INDUSTRIES INC),Oregon,45648
2019,Radius Recycling (Formerly SCHNITZER STEEL INDUSTRIES INC),Oregon,45648
2018,Radius Recycling (Formerly SCHNITZER STEEL INDUSTRIES INC),Oregon,45648
2016,Radius Recycling (Formerly SCHNITZER STEEL INDUSTRIES INC),Oregon,45648
2019,AMERICAN INTERNATIONAL GROUP INC ,New York,45333
2020,WINE INSTITUTE,California,45083.33
2021,PAX Labs,California,45000
2020,MOTOR VEHICLE SOFTWARE CORP,California,45000
2020,MAPLEBEAR INC. D/B/A INSTACART,California,45000
2020,PAX Labs,California,45000
2019,Advantage Capital,California,45000
2019,TESLA,California,45000
2019,Postmates,California,45000
2018,DELOITTE CONSULTING LLP,California,45000
2017,DELOITTE CONSULTING LLP,California,45000
2016,DELOITTE CONSULTING LLP,California,45000
2023,The Trust for Public Land ,Colorado,45000
2022,BSA - THE SOFTWARE ALLIANCE,District of Columbia,45000
2022,U.S. Tire Manufacturers Association,District of Columbia,45000
2021,AMERICAN COUNCIL OF LIFE INSURERS,District of Columbia,45000
2021,BSA - THE SOFTWARE ALLIANCE,District of Columbia,45000
2020,AMERICAN COUNCIL OF LIFE INSURERS,District of Columbia,45000
2018,DISTILLED SPIRITS COUNCIL OF THE US,District of Columbia,45000
2021,ASTRAZENECA PHARMACEUTICALS LP,Delaware,45000
2023,U.S. Tire Manufacturers Association,District of Columbia,45000
2023,"MED-Project WA, LLC",District of Columbia,45000
2022,"Dun & Bradstreet, Inc.",Florida,45000
2017,"Bio-Tech Medical Software, Inc.",Florida,45000
2022,Pacific Northwest Farmers Cooperative Inc,Idaho,45000
2019,Pacific Northwest Farmers Cooperative Inc,Idaho,45000
2020,TAKEDA PHARMACEUTICALS,Illinois,45000
2017,Bamboo Health,Kentucky,45000
2023,TOTAL WINE & MORE,Maryland,45000
2023,Washington State Medical Oncology Society,Maryland,45000
2022,TOTAL WINE & MORE,Maryland,45000
2021,TOTAL WINE & MORE,Maryland,45000
2020,TOTAL WINE & MORE,Maryland,45000
2019,TOTAL WINE & MORE,Maryland,45000
2018,TOTAL WINE & MORE,Maryland,45000
2016,UNITED HEALTHCARE SERVICES INC,Minnesota,45000
2022,PROCTER & GAMBLE CO,Ohio,45000
2019,Pharmaceutical Industry Labor-Management Association,Ohio,45000
2023,PROCTER & GAMBLE CO,Ohio,45000
2022,"Beef Northwest Feeders, LLC",Oregon,45000
2021,"Beef Northwest Feeders, LLC",Oregon,45000
2023,"SkyNRG Americas, Inc",Oregon,45000
2023,Waterford.org,Utah,45000
2021,Capital One Financial Corporation,Virginia,45000
2017,AMERICAN FAMILY MUTUAL INSURANCE,Wisconsin,45000
2019,AMERICAN COUNCIL OF LIFE INSURERS,District of Columbia,44999.96
2022,The Home Depot,District of Columbia,44813.91
2018,WELLS FARGO & CO,Minnesota,44799.8
2020,"STAND FOR CHILDREN, INC.",Oregon,44788.74
2023,LEUKEMIA & LYMPHOMA SOCIETY,District of Columbia,44657
2018,Association of American Publishers,District of Columbia,44640.8
2020,Association of American Publishers,District of Columbia,44640
2019,Association of American Publishers,District of Columbia,44640
2021,CONSUMER DATA INDUSTRY ASSN,District of Columbia,44556
2020,CONSUMER DATA INDUSTRY ASSN,District of Columbia,44556
2019,CONSUMER DATA INDUSTRY ASSN,District of Columbia,44556
2018,CONSUMER DATA INDUSTRY ASSN,District of Columbia,44556
2017,CONSUMER DATA INDUSTRY ASSN,District of Columbia,44556
2016,CONSUMER DATA INDUSTRY ASSN,District of Columbia,44556
2020,RENEWABLE NORTHWEST,Oregon,44420
2021,WELLS FARGO & CO,Minnesota,44150.76
2020,WELLS FARGO & CO,Minnesota,44150.76
2019,WELLS FARGO & CO,Minnesota,44150.76
2017,WELLS FARGO & CO,Minnesota,44150.76
2021,"Lucid USA, Inc",California,44000
2020,"Brinderson, LLC",California,44000
2016,NW GROCERY ASSN,Oregon,44000
2019,Kalkokmey Enterprises,Texas,44000
2021,"PRA Group, Inc.",Virginia,44000
2021,Carahsoft Technology Corporation,Virginia,44000
2018,"Autolotto, Inc. dba Lottery.com  (THRU MULTI STATE)",Virginia,44000
2018,CONSUMER TECHNOLOGY ASSN (THROUGH MULTISTATE ASSOCIATES LLC),Virginia,44000
2019,CONSUMER TECHNOLOGY ASSN (THROUGH MULTISTATE ASSOCIATES LLC),Virginia,43998.68
2019,INTL CODE COUNCIL,District of Columbia,43789.04
2019,HONDA NORTH AMERICA (THRU MULTISTATE ASSOCIATES LLC),Virginia,43750
2021,Rayonier,Florida,43680
2018,Port of Hood River,Oregon,43668.54
2023,The Home Depot,District of Columbia,43649.02
2022,RENEWABLE NORTHWEST,Oregon,43564.45
2022,The Trust for Public Land,Colorado,43500
2021,Oregon Beverage Recycling Cooperative,Oregon,43500
2021,PROCTER & GAMBLE CO,Ohio,43333.3
2019,FRED MEYER (OXLEY & ASSOC),Oregon,43200
2020,PROCTER & GAMBLE CO,Ohio,42999.96
2023,Cascade AIDS Project,Oregon,42752
2016,SMART TD PAC,Ohio,42750
2019,RENEWABLE NORTHWEST,Oregon,42700.55
2022,JPMorgan Chase Holdings LLC,New York,42544
2016,AMERICAN FAMILY MUTUAL INSURANCE,Wisconsin,42500.04
2020,"Lamb Weston, Inc",Idaho,42500
2016,PUBLIC CONSULTING GROUP LLC  c/o MultiState Associates Inc.,Virginia,42500
2022,Rayonier,Florida,42493
2016,Chubb,Pennsylvania,42462.25
2019,Proteus Action League,Massachusetts,42399.37
2021,Sierra Pacific Industries,California,42325
2019,"Association of Global Automakers, Inc.",California,42118.76
2021,NATL RIFLE ASSN OF AMERICA,Virginia,42057.89
2021,"Jazz Pharmaceuticals, Inc. and its subsidiaries, including Greenwich Biosciences, Inc.",California,42000
2021,"Dropbox, Inc.",California,42000
2020,"Jazz Pharmaceuticals, Inc. and its subsidiaries, including Greenwich Biosciences, Inc.",California,42000
2019,"Jazz Pharmaceuticals, Inc. and its subsidiaries, including Greenwich Biosciences, Inc.",California,42000
2018,"Jazz Pharmaceuticals, Inc. and its subsidiaries, including Greenwich Biosciences, Inc.",California,42000
2018,WINE INSTITUTE,California,42000
2017,"Jazz Pharmaceuticals, Inc. and its subsidiaries, including Greenwich Biosciences, Inc.",California,42000
2017,Avesis Incorporated,California,42000
2017,WINE INSTITUTE,California,42000
2016,WINE INSTITUTE,California,42000
2023,"Jazz Pharmaceuticals, Inc. and its subsidiaries, including Greenwich Biosciences, Inc.",California,42000
2023,"Dropbox, Inc.",California,42000
2022,"Jazz Pharmaceuticals, Inc. and its subsidiaries, including Greenwich Biosciences, Inc.",California,42000
2022,"Dropbox, Inc.",California,42000
2022,Viatris Inc.,District of Columbia,42000
2021,Viatris Inc.,District of Columbia,42000
2020,Viatris Inc.,District of Columbia,42000
2019,Viatris Inc.,District of Columbia,42000
2023,Viatris Inc.,District of Columbia,42000
2023,Rayonier,Florida,42000
2022,Nez Perce Tribe,Idaho,42000
2021,Nez Perce Tribe,Idaho,42000
2023,Nez Perce Tribe,Idaho,42000
2022,CONTINENTAL CASUALTY COMPANY (CNA Insurance Companies),Illinois,42000
2020,PACKAGING CORP OF AMERICA,Illinois,42000
2023,CONTINENTAL CASUALTY COMPANY (CNA Insurance Companies),Illinois,42000
2022,Sourcewell,Minnesota,42000
2018,NATIONAL ELEVATOR INDUSTRY INC,New York,42000
2018,AMERICAN INTERNATIONAL GROUP INC ,New York,42000
2017,NATIONAL ELEVATOR INDUSTRY INC,New York,42000
2017,AMERICAN INTERNATIONAL GROUP INC ,New York,42000
2022,"KinderCare Learning Companies, LLC",Oregon,42000
2021,"KinderCare Learning Companies, LLC",Oregon,42000
2020,"KinderCare Learning Companies, LLC",Oregon,42000
2023,"KinderCare Learning Companies, LLC",Oregon,42000
2022,Chubb,Pennsylvania,42000
2023,Chubb,Pennsylvania,42000
2023,"McLANE COMPANY, Inc.",Texas,42000
2022,"McLANE COMPANY, Inc.",Texas,42000
2021,"McLANE COMPANY, Inc.",Texas,42000
2022,Glass Packaging Institute (GPI),Virginia,42000
2022,DART CONTAINER CORP (THROUGH MULTISTATE ASSOCIATES LLC),Virginia,42000
2022,HONDA NORTH AMERICA (THRU MULTISTATE ASSOCIATES LLC),Virginia,42000
2021,DART CONTAINER CORP (THROUGH MULTISTATE ASSOCIATES LLC),Virginia,42000
2021,HONDA NORTH AMERICA (THRU MULTISTATE ASSOCIATES LLC),Virginia,42000
2020,DART CONTAINER CORP (THROUGH MULTISTATE ASSOCIATES LLC),Virginia,42000
2019,DART CONTAINER CORP (THROUGH MULTISTATE ASSOCIATES LLC),Virginia,42000
2018,DART CONTAINER CORP (THROUGH MULTISTATE ASSOCIATES LLC),Virginia,42000
2017,DEERE & CO (THRU MULTISTATES),Virginia,42000
2016,DEERE & CO (THRU MULTISTATES),Virginia,42000
2023,Glass Packaging Institute (GPI),Virginia,42000
2023,DART CONTAINER CORP (THROUGH MULTISTATE ASSOCIATES LLC),Virginia,42000
2023,HONDA NORTH AMERICA (THRU MULTISTATE ASSOCIATES LLC),Virginia,42000
2022,NATL RIFLE ASSN OF AMERICA,Virginia,41741.55
2018,Viatris Inc.,District of Columbia,41500
2021,CIGAR ASSN OF AMERICA,District of Columbia,41499.96
2022,CIGAR ASSN OF AMERICA,District of Columbia,41499.95
2023,"MOTION PICTURE ASSOCIATION, INC.",District of Columbia,41433.3
2016,GENENTECH,California,41420
2018,SCIENTIFIC GAMES CORPORATION,Nevada,41395.83
2020,CIGAR ASSN OF AMERICA,District of Columbia,41374.95
2020,DELOITTE CONSULTING LLP,California,41250
2019,Rivian Automotive LLC,Michigan,41250
2023,JPMorgan Chase Holdings LLC,New York,41220
2022,Far West Agribusiness Association,Idaho,41134.8
2019,CIGAR ASSN OF AMERICA,District of Columbia,41041.59
2021,"Canals of Ellensburg, LLC",California,41000
2018,"Association of Global Automakers, Inc.",California,41000
2021,"Maverik, Inc",Utah,41000
2019,WINE INSTITUTE,California,40916.63
2017,Association of American Publishers,District of Columbia,40910
2016,WELLS FARGO & CO,Minnesota,40872.8
2018,FRED MEYER (OXLEY & ASSOC),Oregon,40800
2017,FRED MEYER (OXLEY & ASSOC),Oregon,40800
2016,FRED MEYER (OXLEY & ASSOC),Oregon,40800
2017,CIGAR ASSN OF AMERICA,District of Columbia,40582.62
2023,"Lamb Weston, Inc",Idaho,40500
2020,Sodexo,Maryland,40500
2023,OTSUKA AMERICA PHARMACEUTICAL INC,Maryland,40461.52
2017,Bayer U.S. LLC ,New Jersey,40355
2023,Flock Group Inc. dba Flock Safety,California,40192.3
2022,ABBOTT LABORATORIES,Illinois,40000.08
2021,ABBOTT LABORATORIES,Illinois,40000.08
2020,ABBOTT LABORATORIES,Illinois,40000.08
2021,The Trust for Public Land,Colorado,40000.02
2018,"Jinro America, Inc.",California,40000
